,Year,Continent,Disaster Type,counts
505,1952,Europe,Landslide,1
506,1952,Europe,Transport accident,3
507,1952,Oceania,Storm,1
508,1953,Americas,Earthquake,3
509,1953,Americas,Epidemic,1
510,1953,Americas,Flood,1
511,1953,Americas,Storm,6
512,1953,Americas,Transport accident,2
513,1953,Asia,Earthquake,5
514,1953,Asia,Extreme temperature,3
515,1953,Asia,Flood,7
516,1953,Asia,Industrial accident,1
517,1953,Asia,Storm,4
518,1953,Asia,Transport accident,1
519,1953,Europe,Earthquake,1
520,1953,Europe,Flood,4
521,1953,Europe,Industrial accident,3
522,1953,Europe,Storm,1
523,1953,Europe,Transport accident,2
524,1953,Oceania,Transport accident,1
525,1953,Oceania,Volcanic activity,1
526,1954,Africa,Earthquake,1
527,1954,Africa,Flood,2
528,1954,Americas,Landslide,4
529,1954,Americas,Storm,6
530,1954,Americas,Transport accident,2
531,1954,Asia,Earthquake,2
532,1954,Asia,Flood,7
533,1954,Asia,Landslide,1
534,1954,Asia,Miscellaneous accident,1
535,1954,Asia,Storm,4
536,1954,Asia,Transport accident,4
537,1954,Asia,Volcanic activity,1
538,1954,Europe,Earthquake,2
539,1954,Europe,Landslide,3
540,1954,Europe,Transport accident,3
541,1955,Africa,Earthquake,1
542,1955,Americas,Earthquake,1
543,1955,Americas,Extreme temperature,1
544,1955,Americas,Flood,1
545,1955,Americas,Mass movement (dry),1
546,1955,Americas,Storm,11
547,1955,Americas,Transport accident,1
548,1955,Asia,Earthquake,3
549,1955,Asia,Flood,1
550,1955,Asia,Landslide,2
551,1955,Asia,Miscellaneous accident,1
552,1955,Asia,Storm,7
553,1955,Europe,Earthquake,1
554,1955,Europe,Miscellaneous accident,1
555,1955,Europe,Transport accident,3
556,1955,Oceania,Flood,1
557,1955,Oceania,Storm,1
558,1956,Africa,Storm,1
559,1956,Americas,Industrial accident,2
560,1956,Americas,Landslide,2
561,1956,Americas,Storm,4
562,1956,Americas,Transport accident,3
563,1956,Americas,Wildfire,1
564,1956,Asia,Earthquake,4
565,1956,Asia,Flood,8
566,1956,Asia,Industrial accident,1
567,1956,Asia,Landslide,3
568,1956,Asia,Storm,8
