,Disaster Type,Country,ISO,counts
251,Earthquake,Samoa,WSM,1
252,Earthquake,Serbia,SRB,1
253,Earthquake,Serbia Montenegro,SCG,1
254,Earthquake,Seychelles,SYC,1
255,Earthquake,Slovenia,SVN,2
256,Earthquake,Solomon Islands,SLB,9
257,Earthquake,Somalia,SOM,1
258,Earthquake,South Africa,ZAF,5
259,Earthquake,Soviet Union,SUN,23
260,Earthquake,Spain,ESP,3
261,Earthquake,Sri Lanka,LKA,1
262,Earthquake,Sudan (the),SDN,2
263,Earthquake,Taiwan (Province of China),TWN,32
264,Earthquake,Tajikistan,TJK,13
265,Earthquake,"Tanzania, United Republic of",TZA,7
266,Earthquake,Thailand,THA,4
267,Earthquake,Timor-Leste,TLS,1
268,Earthquake,Tonga,TON,2
269,Earthquake,Trinidad and Tobago,TTO,1
270,Earthquake,Tunisia,TUN,1
271,Earthquake,Turkey,TUR,110
272,Earthquake,Turkmenistan,TKM,1
273,Earthquake,Uganda,UGA,6
274,Earthquake,United Kingdom of Great Britain and Northern Ireland (the),GBR,2
275,Earthquake,United States of America (the),USA,45
276,Earthquake,Uzbekistan,UZB,2
277,Earthquake,Vanuatu,VUT,8
278,Earthquake,Venezuela (Bolivarian Republic of),VEN,7
279,Earthquake,Wallis and Futuna,WLF,1
280,Earthquake,Yemen,YEM,1
281,Earthquake,Yemen Arab Rep,YMN,2
282,Earthquake,Yugoslavia,YUG,11
283,Epidemic,Afghanistan,AFG,20
284,Epidemic,Albania,ALB,2
285,Epidemic,Algeria,DZA,2
286,Epidemic,Angola,AGO,20
287,Epidemic,Anguilla,AIA,5
288,Epidemic,Argentina,ARG,2
289,Epidemic,Australia,AUS,2
290,Epidemic,Bahrain,BHR,1
291,Epidemic,Bangladesh,BGD,31
292,Epidemic,Belarus,BLR,2
293,Epidemic,Belgium,BEL,1
294,Epidemic,Benin,BEN,26
295,Epidemic,Bhutan,BTN,2
296,Epidemic,Bolivia (Plurinational State of),BOL,13
297,Epidemic,Bosnia and Herzegovina,BIH,1
298,Epidemic,Botswana,BWA,3
299,Epidemic,Brazil,BRA,18
300,Epidemic,Burkina Faso,BFA,25
301,Epidemic,Burundi,BDI,15
