,Disaster Type,Country,ISO,counts
620,Flood,Liberia,LBR,6
621,Flood,Libya,LBY,3
622,Flood,Lithuania,LTU,2
623,Flood,Luxembourg,LUX,2
624,Flood,Macedonia (the former Yugoslav Republic of),MKD,11
625,Flood,Madagascar,MDG,9
626,Flood,Malawi,MWI,42
627,Flood,Malaysia,MYS,58
628,Flood,Maldives,MDV,3
629,Flood,Mali,MLI,26
630,Flood,Marshall Islands (the),MHL,2
631,Flood,Mauritania,MRT,19
632,Flood,Mauritius,MUS,1
633,Flood,Mexico,MEX,74
634,Flood,Micronesia (Federated States of),FSM,1
635,Flood,Moldova (the Republic of),MDA,7
636,Flood,Mongolia,MNG,11
637,Flood,Montenegro,MNE,4
638,Flood,Morocco,MAR,34
639,Flood,Mozambique,MOZ,41
640,Flood,Myanmar,MMR,35
641,Flood,Namibia,NAM,15
642,Flood,Nepal,NPL,51
643,Flood,Netherlands (the),NLD,4
644,Flood,New Zealand,NZL,41
645,Flood,Nicaragua,NIC,23
646,Flood,Niger (the),NER,31
647,Flood,Nigeria,NGA,54
648,Flood,Norway,NOR,3
649,Flood,Oman,OMN,4
650,Flood,Pakistan,PAK,106
651,Flood,"Palestine, State of",PSE,4
652,Flood,Panama,PAN,38
653,Flood,Papua New Guinea,PNG,19
654,Flood,Paraguay,PRY,28
655,Flood,Peru,PER,61
656,Flood,Philippines (the),PHL,152
657,Flood,Poland,POL,15
658,Flood,Portugal,PRT,14
659,Flood,Puerto Rico,PRI,8
660,Flood,Qatar,QAT,1
661,Flood,Romania,ROU,52
662,Flood,Russian Federation (the),RUS,66
663,Flood,Rwanda,RWA,23
664,Flood,Saint Kitts and Nevis,KNA,1
665,Flood,Saint Lucia,LCA,2
666,Flood,Saint Vincent and the Grenadines,VCT,7
667,Flood,Samoa,WSM,1
668,Flood,Saudi Arabia,SAU,24
669,Flood,Senegal,SEN,23
670,Flood,Serbia,SRB,16
671,Flood,Serbia Montenegro,SCG,9
672,Flood,Seychelles,SYC,2
673,Flood,Sierra Leone,SLE,10
674,Flood,Slovakia,SVK,13
675,Flood,Slovenia,SVN,3
676,Flood,Solomon Islands,SLB,5
677,Flood,Somalia,SOM,45
678,Flood,South Africa,ZAF,41
679,Flood,South Sudan,SSD,13
680,Flood,Soviet Union,SUN,17
681,Flood,Spain,ESP,36
682,Flood,Sri Lanka,LKA,74
683,Flood,Sudan (the),SDN,40
684,Flood,Suriname,SUR,3
685,Flood,Swaziland,SWZ,3
686,Flood,Sweden,SWE,2
687,Flood,Switzerland,CHE,8
688,Flood,Syrian Arab Republic,SYR,5
689,Flood,Taiwan (Province of China),TWN,9
690,Flood,Tajikistan,TJK,32
