,Unnamed: 0,milking_id,milking_oid,farm_id,animal_id,lactation_id,milking_system_id,mastiman_trial_id,weather_id,parity,started_at,ended_at,previously_ended_at,mi,dim,tmy,mylf,myrf,mylr,myrr,LS,tmy_h
3420,3420,120220000000000.0,2598836,1,3595,4117,13,,,3,10/01/2022 20:26,10/01/2022 20:32,10/01/2022 10:15,10.28,32.86,8.24,1.9,1.88,2.26,2.2,Early,0.8015564202334631
3421,3421,120220000000000.0,2598909,1,3595,4117,13,,,3,11/01/2022 03:04,11/01/2022 03:10,10/01/2022 20:32,6.63,33.13,5.22,1.17,1.17,1.48,1.4,Early,0.7873303167420814
3422,3422,120220000000000.0,2598965,1,3595,4117,13,,,3,11/01/2022 09:32,11/01/2022 09:38,11/01/2022 03:10,6.48,33.4,5.27,1.2,1.24,1.44,1.39,Early,0.8132716049382714
3423,3423,120220000000000.0,2599048,1,3595,4117,13,,,3,11/01/2022 16:45,11/01/2022 16:52,11/01/2022 09:38,7.23,33.7,5.58,1.27,1.27,1.56,1.48,Early,0.7717842323651452
3424,3424,120220000000000.0,2599156,1,3595,4117,13,,,3,12/01/2022 02:13,12/01/2022 02:23,11/01/2022 16:52,9.52,34.1,4.83,1.47,1.65,0.0,1.71,Early,0.5073529411764707
3425,3425,120220000000000.0,2599205,1,3595,4117,13,,,3,12/01/2022 07:24,12/01/2022 07:31,12/01/2022 02:23,5.12,34.31,5.78,0.9,0.91,2.9,1.07,Early,1.12890625
3426,3426,120220000000000.0,2599302,1,3595,4117,13,,,3,12/01/2022 16:04,12/01/2022 16:13,12/01/2022 07:31,8.7,34.68,5.73,1.32,1.35,1.55,1.51,Early,0.6586206896551725
3427,3427,120220000000000.0,2599391,1,3595,4117,13,,,3,12/01/2022 23:59,13/01/2022 00:06,12/01/2022 16:13,7.89,35.0,5.48,1.27,1.26,1.53,1.42,Early,0.6945500633713563
3428,3428,120220000000000.0,2599451,1,3595,4117,13,,,3,13/01/2022 05:37,13/01/2022 05:44,13/01/2022 00:06,5.63,35.24,4.06,0.98,0.96,1.0,1.12,Early,0.7211367673179395
3429,3429,120220000000000.0,2599524,1,3595,4117,13,,,3,13/01/2022 13:06,13/01/2022 13:13,13/01/2022 05:44,7.48,35.55,5.36,1.21,1.21,1.46,1.48,Early,0.7165775401069518
3430,3430,120220000000000.0,2599659,1,3595,4117,13,,,3,14/01/2022 00:52,14/01/2022 00:59,13/01/2022 13:13,11.78,36.04,7.77,1.81,1.8,2.08,2.08,Early,0.6595925297113752
3431,3431,120220000000000.0,2599733,1,3595,4117,13,,,3,14/01/2022 08:01,14/01/2022 08:07,14/01/2022 00:59,7.13,36.34,4.86,1.1,1.15,1.34,1.27,Early,0.6816269284712483
3432,3432,120220000000000.0,2599817,1,3595,4117,13,,,3,14/01/2022 16:04,14/01/2022 16:10,14/01/2022 08:07,8.05,36.67,4.94,1.12,1.15,1.35,1.32,Early,0.613664596273292
3433,3433,120220000000000.0,2599922,1,3595,4117,13,,,3,15/01/2022 00:44,15/01/2022 00:51,14/01/2022 16:10,8.68,37.04,4.5,1.01,1.05,1.23,1.21,Early,0.5184331797235023
3434,3434,120220000000000.0,2599989,1,3595,4117,13,,,3,15/01/2022 07:18,15/01/2022 07:23,15/01/2022 00:51,6.53,37.31,3.8,0.84,0.86,1.04,1.06,Early,0.5819295558958651
3435,3435,120220000000000.0,2600072,1,3595,4117,13,,,3,15/01/2022 14:00,15/01/2022 14:05,15/01/2022 07:23,6.71,37.59,3.48,0.79,0.81,0.95,0.93,Early,0.518628912071535
3436,3436,120220000000000.0,2600159,1,3595,4117,13,,,3,15/01/2022 21:00,15/01/2022 21:07,15/01/2022 14:05,7.02,37.88,3.27,0.75,0.77,0.89,0.86,Early,0.4658119658119658
3437,3437,120220000000000.0,2600239,1,3595,4117,13,,,3,16/01/2022 04:12,16/01/2022 04:20,15/01/2022 21:07,7.21,38.18,2.77,0.85,0.0,0.92,1.0,Early,0.3841886269070735
3438,3438,120220000000000.0,2600344,1,3595,4117,13,,,3,16/01/2022 13:22,16/01/2022 13:28,16/01/2022 04:20,9.14,38.56,5.45,1.06,1.88,1.27,1.24,Early,0.5962800875273523
3439,3439,120220000000000.0,2600494,1,3595,4117,13,,,3,17/01/2022 02:12,17/01/2022 02:18,16/01/2022 13:28,12.83,39.1,6.97,1.65,1.55,1.91,1.86,Early,0.5432579890880748
3440,3440,120220000000000.0,2600564,1,3595,4117,13,,,3,17/01/2022 08:41,17/01/2022 08:46,17/01/2022 02:18,6.47,39.37,3.99,0.89,0.91,1.06,1.13,Early,0.616692426584235
3441,3441,120220000000000.0,2600637,1,3595,4117,13,,,3,17/01/2022 15:36,17/01/2022 15:41,17/01/2022 08:46,6.92,39.65,4.19,0.96,0.98,1.17,1.08,Early,0.6054913294797688
3442,3442,120220000000000.0,2600716,1,3595,4117,13,,,3,17/01/2022 21:43,17/01/2022 21:48,17/01/2022 15:41,6.11,39.91,2.35,0.0,0.9,1.0,0.45,Early,0.38461538461538464
3443,3443,120220000000000.0,2600776,1,3595,4117,13,,,3,18/01/2022 03:02,18/01/2022 03:09,17/01/2022 21:48,5.35,40.13,4.1,1.44,0.66,1.22,0.78,Early,0.7663551401869159
3444,3444,120220000000000.0,2600871,1,3595,4117,13,,,3,18/01/2022 13:07,18/01/2022 13:11,18/01/2022 03:09,10.04,40.55,5.24,1.17,1.24,1.36,1.47,Early,0.5219123505976097
3445,3445,120220000000000.0,2600960,1,3595,4117,13,,,3,18/01/2022 20:54,18/01/2022 21:01,18/01/2022 13:11,7.82,40.88,4.02,0.9,0.95,1.11,1.06,Early,0.5140664961636828
3446,3446,120220000000000.0,2601043,1,3595,4117,13,,,3,19/01/2022 04:22,19/01/2022 04:28,18/01/2022 21:01,7.45,41.19,3.96,0.91,0.92,1.06,1.07,Early,0.5315436241610738
3447,3447,120220000000000.0,2601141,1,3595,4117,13,,,3,19/01/2022 12:58,19/01/2022 13:06,19/01/2022 04:28,8.64,41.55,3.29,1.0,1.1,0.0,1.19,Early,0.38078703703703703
3448,3448,120220000000000.0,2601196,1,3595,4117,13,,,3,19/01/2022 18:30,19/01/2022 18:35,19/01/2022 13:06,5.48,41.77,3.96,0.64,0.65,1.99,0.68,Early,0.7226277372262773
3449,3449,120220000000000.0,2601269,1,3595,4117,13,,,3,20/01/2022 01:04,20/01/2022 01:09,19/01/2022 18:35,6.57,42.05,3.48,0.79,0.81,0.95,0.93,Early,0.5296803652968036
3450,3450,120220000000000.0,2601354,1,3595,4117,13,,,3,20/01/2022 08:51,20/01/2022 08:57,20/01/2022 01:09,7.8,42.37,4.2,0.96,0.97,1.14,1.13,Early,0.5384615384615385
3451,3451,120220000000000.0,2601447,1,3595,4117,13,,,3,20/01/2022 16:29,20/01/2022 16:37,20/01/2022 08:57,7.66,42.69,4.32,0.93,0.95,1.44,1.0,Early,0.5639686684073107
3452,3452,120220000000000.0,2601541,1,3595,4117,13,,,3,21/01/2022 00:18,21/01/2022 00:27,20/01/2022 16:37,7.83,43.02,3.4,0.97,1.05,1.38,0.0,Early,0.4342273307790549
3453,3453,120220000000000.0,2601587,1,3595,4117,13,,,3,21/01/2022 03:57,21/01/2022 04:02,21/01/2022 00:27,3.59,43.17,3.37,0.49,0.5,0.51,1.87,Early,0.9387186629526463
3454,3454,120220000000000.0,2601661,1,3595,4117,13,,,3,21/01/2022 10:50,21/01/2022 10:54,21/01/2022 04:02,6.86,43.45,3.93,0.9,0.92,1.05,1.06,Early,0.5728862973760933
3455,3455,120220000000000.0,2601759,1,3595,4117,13,,,3,21/01/2022 18:59,21/01/2022 19:06,21/01/2022 10:54,8.2,43.8,4.51,1.04,1.03,1.16,1.28,Early,0.55
3456,3456,120220000000000.0,2601848,1,3595,4117,13,,,3,22/01/2022 02:42,22/01/2022 02:51,21/01/2022 19:06,7.75,44.12,4.3,0.98,0.97,1.14,1.21,Early,0.5548387096774193
3457,3457,120220000000000.0,2601972,1,3595,4117,13,,,3,22/01/2022 15:05,22/01/2022 15:13,22/01/2022 02:51,12.37,44.63,5.7,1.66,0.0,2.06,1.98,Early,0.4607922392886015
3458,3458,120220000000000.0,2602033,1,3595,4117,13,,,3,22/01/2022 19:46,22/01/2022 19:55,22/01/2022 15:13,4.71,44.83,3.71,0.72,2.14,0.31,0.54,Early,0.7876857749469215
3459,3459,120220000000000.0,2602101,1,3595,4117,13,,,3,23/01/2022 01:40,23/01/2022 01:47,22/01/2022 19:55,5.86,45.07,4.32,0.81,0.8,1.77,0.94,Early,0.7372013651877133
3460,3460,120220000000000.0,2602157,1,3595,4117,13,,,3,23/01/2022 07:26,23/01/2022 07:31,23/01/2022 01:47,5.74,45.31,3.47,0.8,0.72,0.99,0.96,Early,0.6045296167247387
3461,3461,120220000000000.0,2602232,1,3595,4117,13,,,3,23/01/2022 13:18,23/01/2022 13:29,23/01/2022 07:31,5.96,45.56,3.5,1.11,1.06,0.0,1.33,Early,0.587248322147651
3462,3462,120220000000000.0,2602330,1,3595,4117,13,,,3,23/01/2022 21:24,23/01/2022 21:33,23/01/2022 13:29,8.07,45.9,5.36,1.04,1.03,2.04,1.25,Early,0.6641883519206939
